스팟아이디,스팟명,오디오명,대본내용,재생시간(초)
178,오릉 앞에서,오릉을 바라보며,"오릉 앞에 도착하셨나요오릉의 내부구조는 알 수 없지만, 외형은 경주에서 자주 볼 수 있는 신라무덤과 같이 흙을 둥글게 쌓아 올린 모습이에요. 이런 무덤 형태는 신라 4세기 이후에 등장한 것으로 박혁거세 당시의 무덤형식은 아니에요.하지만, 삼국사기의 기록으로 미루어 박혁거세 거서간과 그의 왕비 알영부인, 제2대 남해 차차웅, 제3대 유리 이사금, 제5대 파사 이사금의 무덤으로 보고 있답니다. 그런데 신라의 왕을 부르는 칭호가 참 다양하죠그럼, 여기서 신라시대 왕의 칭호 변화를 살펴볼까요신라 초기에는 나라를 다스리는 통치자를 왕으로 칭하지 않고 거서간, 차차웅, 이사금, 마립간 순으로 부르다가, 신라 22대 지증왕 때부터 왕이란 칭호를 사용하게 되었어요.먼저 거서간은 신라의 시조 박혁거세 때 사용되었는데, 거서간은 귀한 사람이란 뜻으로 작은 나라의 수장을 부르는 말이었어요.박혁거세 다음 2대 왕에는 차차웅으로 불렸는데, 차차웅은 무당이란 뜻이에요.신과 소통하는 차차웅은 제사와 정치를 함께하는 지도자였죠. 이사금은 이가 많은 사람, 즉 연장자를 뜻하는 말이에요. 당시 신라는 연맹국가였는데, 연맹세력의 대표자들이 돌아가며 왕위를 계승했었죠. 그리고 남해 차차웅의 아들 유리와 사위 탈해가 서로 왕위를 양보하다가, 떡을 깨물어 잇자국이 많이 난 유리가 먼저 왕이 되었다는 이야기도 전해지고 있어요.이사금 이후 마립간이란 용어가 사용되었는데, 마립간은 높은 마루에 앉은 우두머리란 뜻의 대군장을 의미해요. 김 씨가 왕위 세습권을 독점하면서 왕권 강화를 표시하기 위해 마립간이란 칭호를 사용하게 된 것이죠. 이후 부자 상속제를 확립하고 정치조직(6부)을 개편하면서 중앙집권화를 이루고 그 과정에서 왕이란 칭호가 사용되었답니다. 이렇게 왕의 칭호는 신라 왕권의 변화와 함께 변화되어 왔어요. 그럼 이제, 박혁거세의 왕비 알영부인이 태어났다고 전해지는 알영정으로 가볼까요 알영정은 오릉의 동쪽에 위치하고 있답니다. ",156
177,오릉 입구에 들어서며,박혁거세의 후손과 왕비 알영부인,"[선생님] 여기는 오릉이에요.오릉은 신라의 시조 박혁거세와 그의 왕비 알영부인, 그리고 3명의 박씨 왕인 남해왕, 유리왕, 파사왕까지 다섯 명의 무덤으로 전해지는 곳이죠.[학생] 그런데 왜 왕들의 무덤인데 선덕여왕릉처럼 이름을 붙이지 않고 오릉이라 해요[선생님] 이곳에 있는 무덤들은 그 주인이 누구인지 정확하게 밝혀지지 않았어요. 삼국사기에 ‘박혁거세 거서간, 알영부인, 남해 차차웅, 유리 이사금, 파사 이사금을 사릉원 안에 장사 지냈다.’라는 기록이 있어, 박혁거세와 그 후대 왕들의 무덤으로 추정하게 된 거죠.[학생] 그럼, 사릉원이 이곳 오릉이란 말씀이세요[선생님] 네, 이곳을 사릉 또는 오릉이라 부르는데, 이 이름은 삼국유사에서 비롯된 거예요. 기록에는 박혁거세가 나라를 다스린 지 61년 만에 하늘로 올라갔는데, 7일 후 그 시체가 다섯 부분으로 나뉘어 땅에 떨어졌다고 해요. 그의 시신을 수습해 한곳에 묻으려 했지만 갑자기 큰 뱀이 나타나 방해를 하는 바람에, 다섯 군데로 나눠 묻었다고 하네요.그래서 오릉이라 부르기도 하고, 뱀(師)이 나타났다고 해서 사릉이라 불리기도 한답니다.그럼, 전설이 남아 있는 오릉으로 가볼까요",95
175,김유신 묘를 돌아보며,"전장을 누빈, 김유신","[해설] 70세 고령의 나이까지 전장을 누빈 김유신은 항상 전쟁의 선봉에서 신라군을 이끌었어요. 그는 한 전쟁을 치르고 잠시 쉬지도 않고 다시 전장으로 달려갔답니다. 그럼, 그의 이야기를 들어 볼까요 645년. 김유신 장군은 매리포성을 쳐들어온 백제 군사들과 맞서 승리해, 신라는 온통 축제 분위기였습니다.[백성] 유신 장군 만세! 김유신 장군 만만세!![해설] 백성들은 전쟁터에서 돌아온 김유신을 열렬히 환영했어요. 그때, 국경을 지키던 군인이 헐레벌떡 뛰어들어와요. [군사1] 백제의 군사가 국경에 집결하고 있습니다! 그 수가 어마어마하여 끝이 보이지가 않습니다.[왕] 어찌 또 이런 일이!! [김유신] 신 김유신, 제가 그들을 막겠습니다.[왕] 유신공께선 지금 막 돌아오시지 않으셨습니까. 가족이라도 만나시고.[김유신] 신라를 지키는 일이 제 가족을 지키는 일입니다. 어서 하명하여 주십시오.[왕] 공의 뜻이 그러하시니. 좋소이다. 그들이 이르기 전에 대비하시기 바라오. [해설] 그렇게 김유신은 집에 들르지도 않고 군사를 재정비해 다시 전장을 향했어요. 김유신이 집 앞을 지날 무렵 그의 가족들이 모두 기다리고 있었지만, 그는 문 앞을 지나치면서 집 쪽을 돌아보지도 않았죠. 그러다 쉰 걸음쯤 떨어진 곳에서 말을 멈추고, 집에서 물을 가져오라 했어요. [김유신] 우리 집 물은 아직 옛 맛 그대로구나. 그만 가자! 모두 길을 서둘러라! [군사들] 네![해설] 병사들은 김유신의 그런 모습을 보고 다짐했어요.[군사2] 대장군 마음이 저러한데, 우리들이 가족들과 떨어지는 것을 어떻게 한스럽게 여기겠는가. 하루빨리 전쟁을 끝내고 돌아오세. 자, 가자고![해설] 이렇게 사기가 하늘을 찌른 신라 군인들에게 백제 군인들은 감히 범접하지 못하고 물러갔어요. 지금도 김유신 장군의 집터엔 장군이 마셨다는 우물 재매정이 남아 있답니다. ",157
175,김유신 묘를 돌아보며,김춘추와 피로 맹세하다,"[해설] 김유신을 이야기하면서 김춘추를 빼놓을 수는 없어요. 둘은 친구이면서 삼국통일의 대업의 길을 걸어가는 동반자였죠. 그럼, 김유신과 김춘추의 관계를 알 수 있는 이야기를 들어 볼까요 선덕여왕 11년 백제가 대야성을 함락했을 때, 춘추의 딸 고타소와 남편 품석이 죽었어요. 소식을 들은 김유신은 김춘추를 위로하러 갔었죠. [김유신] 춘추공 계신가[하인] 계시기도 하고 안 계시기도 합니다. [김유신] 어허, 이런 고얀 놈을 봤나 계신다는 게야 안 계신다는 게야[하인] 보십시오. 요즘 들어 아무것도 안 드시고 저렇게 기둥만 잡고 계십니다. 그러니 계시긴 한데, 저희가 지나가도 보지 못하고, 말을 붙여도 듣지도 못하십니다. 그러니 계셔도 계신 게 아니지요[김유신]춘추 공.[김춘추] 유신 공. 나는 고구려로 가 군사를 요청할 것이오. 그리고 그 힘으로 백제의 멸망을 내 눈으로 보고야 말겠습니다. [김유신] 무슨 소립니까 고구려로 가는 건 불구덩이에 뛰어드는 것과 같습니다.[김춘추] 하지만 이렇게라도 하지 않으면 저를 용서하지 못할 것 같습니다.[김유신] 어찌 홀로 그 일을 하시겠다는 말입니까[김춘추] 유신 공은 저와 한 몸으로 나라의 중신입니다. 혹여 내가 고구려에서 해를 입는다면 공께서는 어찌하실 것입니까[김유신] 만일 춘추공이 돌아오지 못한다면 나의 말발굽이 반드시 고구려와 백제의 궁궐을 짓밟아버릴 것입니다. 만약 이렇게 하지 못한다면 무슨 면목으로 백성들을 대하겠습니까[해설] 김유신의 말에 감동한 김춘추는 김유신과 함께 손가락을 깨물어 피를 머금고 맹세를 했어요.[김춘추] 60일이면 돌아올 것입니다. 만일 그날을 넘기고 돌아오지 않는다면 다시 만날 기약은 할 수 없겠습니다. [김유신] 세상의 두려움을 모두 떨치고 그대를 구하러 갈 것입니다. 어진 재상이 적국에 붙잡혔는데, 어찌 두렵다 하여 그것을 피하겠습니까[해설] 그렇게, 김춘추는 고구려로 떠났고, 김춘추가 약속한 60일이 지났지만 그는 돌아오지 않았어요. 김유신은 3천 명의 용사를 뽑아 고구려로 향했지요. 하지만 다행히 고구려에 잡혀 있던 김춘추는 기지를 발휘해 고구려왕을 속이고 무사히 신라로 돌아오게 되었어요. ",167
175,김유신 묘를 돌아보며,말의 목을 벤 김유신,"[해설] 김유신은 어린 시절, 가야계 귀족이라는 신분 때문에 많이 괴로워했어요.그래서 그는 술집을 드나들며 시간을 보내고 있었죠. 어느 날, 김유신의 어머니는 그런 아들을 더 이상 두고 볼 수 없어 엄히 꾸짖었어요. [어머니] 나는 이미 늙었다. 나는 낮이나 밤이나 네가 성장해서 공명을 세워 이 나라와 부모를 영화롭게 하기를 바라고 있었다. 그런데 지금 너는 천한 아이들과 어울리며 술집에서 희희덕거리며 허송세월을 보낸단 말이냐! 앞으로 조상들의 얼굴을 어찌 뵐꼬. [김유신]어머니 눈물을 거두세요. 제가 잘못했습니다. 다시는, 다시는 그런 일이 없을 겁니다. [해설] 김유신은 어머니 앞에 무릎을 꿇고 다시는 술집 앞으로 지나가지도 않겠다고 맹세했어요. 하지만 김유신은 또다시 술이 취해 집으로 돌아오는데, 말이 김유신 자주 가던 술집으로 이르고 말았죠.[천관] 유신 도련님[김유신] 음. 여, 여긴 [천관] 왜 이제야 오시는 겁니까 하루하루를 당신이 올까 기다리고 있었는데.[김유신] 하~ 이런, 또다시 여기에 오고 말았구나.[해설] 김유신은 그제서야 자신의 잘못을 깨우치고 타고 있던 말의 목을 베어버렸어요. [천관] 도, 도련님[김유신] 내 다시는 이곳에 오지 않을 것이다. 더 이상 나를 기다리지 말거라. [해설] 그렇게 김유신은 말 안장을 그대로 버려둔 채 돌아왔어요. 그 후, 김유신은 단석산으로 들어가 무예를 갈고 닦아 신라 최고의 장군이 되었답니다.",129
174,김유신 묘 앞에서,"삼국통일 위업을 이룬 신라의 영웅, 김유신-2","여기는 신라 장군 김유신의 묘예요. 김유신의 무덤은, 흙이 내려앉는 것을 보호하기 위해 주변에 돌을 두르고 그 돌 위에 시간과 방향을 상징하는 열두 마리의 동물을 조각했는데, 전형적인 통일신라시대의 왕릉 형식을 갖추고 있죠. 그런데 김유신은 왕이 아닌데 왜 왕릉 형식으로 무덤을 만들었을까요김유신은 살아서는 왕이 아니었지만 죽은 후에 그의 공을 인정받고 왕으로 추존 받아 흥무대왕이라 불렸어요. 그래서 이렇게 왕릉의 형식을 갖추게 된 거랍니다. 능 앞쪽에는 두 개의 묘비가 있는데, 하나는 태대각간이라는 직위를 새긴 비석이고 다른 하나는 흥무대왕의 비석이에요. 이렇게, 신라에서 가장 높은 벼슬과 왕의 칭호까지 받게 된 김유신이지만 어린 시절에는 신분적 한계로 많은 어려움이 있었답니다. 그럼, 평생 김유신을 옭아매었던 그의 가족사를 살펴볼까요 김유신은 금관가야의 마지막 왕자인 김무력의 손자로 가야계 귀족이었어요. 김유신의 아버지 서현은 진평왕의 동생 만명공주와 결혼을 했는데, 만명공주 집안에서 반대를 했어요. 그래서 서현은 만명공주를 데리고 도망가서 결혼을 했죠. 그만큼 김유신의 집안은 신라 귀족들에게 배척을 당했어요. 신라는 엄격한 신분제도인 골품제도를 유지하고 있었기 때문에 김유신은 차별을 받으며 중앙으로 진출하지 못했죠. 하지만 신라 왕족이었던 김춘추와 의기투합하고 자신의 동생 문희를 춘추에게 시집 보내면서 신분적 한계를 뛰어넘으려고 했죠. 혈연으로 맺어진 춘추와 함께 김유신은 수많은 전장에서 공을 세우고 마침내, 삼국통일의 대업을 이루는 큰 공을 세워 신라의 영웅으로 추앙받게 되었어요.많은 어려움을 딛고 역사서에 당당히 이름을 드높였던 김유신.그럼, 김유신 묘를 돌아보며 그의 인물됨을 알 수 있는 이야기를 들어 보세요. ",141
173,김유신 묘로 향하며,"삼국통일 위업을 이룬 신라의 영웅, 김유신-1","[선생님] 여기는 김유신 장군의 묘예요. [학생] 김유신 장군이면 수많은 전투에서 큰 성과를 거둔 멋진 장군이잖아요[선생님]  그래요. 김유신은 신라의 영웅으로 무열왕인 김춘추와 함께 삼국통일의 주역이죠. 하지만 김유신이 처음부터 신라 사람들에게 존경을 받는 인물은 아니었어요. [학생] 응 왜요[선생님]  사실 김유신은 신라의 정통귀족이 아니라 금관가야 왕족이었어요. 가야가 신라에게 병합되면서 신라의 귀족이 되었죠. 비록 귀족신분을 유지하고 있었지만, 엄격한 골품제도 안에서 많은 차별을 당했답니다. [학생] 그럼, 어떻게 그런 차별 속에서 신라 최고의 장군이 된 거죠[선생님]  김유신은 힘든 환경 속에서도 좌절하지 않고 꾸준히 심신을 단련하며 기회를 기다리고 있었어요. 그리고 백제와의 치열한 전투를 벌인 낭비성 전투에서 홀로 적진에 뛰어들어 큰 전과를 올리게 되죠. 하지만 뛰어난 전공에도 불구하고 신라 골품제의 벽을 넘기란 어려운 일이었어요.[학생] 신분 때문에 차별을 받다니 김유신 장군은 많이 괴로웠겠어요. [선생님]  그래요. 하지만 김유신은 운명의 상대인 김춘추를 만나면서 그 한계를 극복하게 되죠. 당시 왕이 될 수 없었던 진골 출신의 김춘추와 가야계 후손 김유신은 서로 의기투합해 신라의 중심에 서게 되고, 마침내 삼국통일의 주역이 돼 신라인들의 존경을 받게 되었답니다.[학생] 노력이 결실을 이루었네요~[선생님]  그렇죠. 항상 선봉에 서서 수많은 전장을 누볐던 김유신은 진평왕 때부터 선덕여왕, 진덕여왕, 무열왕 그리고 문무왕까지 긴 세월 동안 늘 신라의 최전방에서 나라를 지켰어요. 그리고 신라 역사상 유일하게 '태대각간'이란 가장 높은 직위에 오르게 되고, 죽은 후에도 왕으로 추존되어 흥무대왕이라 불렸지요.그럼, 사회적 제약을 뛰어넘어 최고의 관직에 오른 삼국통일의 주역을 만나러 떠나 볼까요 ",139
171,능을 돌아보며,향기 없는 모란꽃,"[해설]선덕여왕은 성품이 너그럽고 지혜로웠다고 해요. 삼국사기와 삼국유사를 통해 내려오는 지기삼사에서 선덕여왕의 그 지혜를 엿볼 수 있죠. 지기삼사는 선덕여왕이 미리 내다본 세 가지의 일을 말하는데, 그중 하나가 자신을 도리천에 묻어달라고 했던 이야기로 앞서 살펴보았어요. 그럼, 나머지 두 이야기도 한번 들어볼까요 선덕여왕의 어린 시절, 아버지 진평왕은 당나라에서 가져온 모란꽃 그림과 그 꽃씨를 덕만에게 보여주었어요. 그러자 덕만은 이렇게 말했어요.[덕만] 이 꽃은 매우 아름답지만, 분명 향기가 없을 거예요.[진평왕] 네가 어떻게 그걸 아느냐[덕만] 그림을 자세히 보세요. 꽃을 그렸는데 나비를 그리지 않았잖아요. 무릇 여자가 아름다우면 남자들이 따르는 것이 이치인데, 이렇게 아름다운 꽃에 나비와 벌이 없으니 당연히 향기가 없지 않겠어요[진평왕] 허허허 그러하냐 그럼 어디 꽃씨를 심어 확인해 보자꾸나.[해설] 얼마 후, 꽃은 피어났고, 선덕여왕의 말처럼 모란꽃에서 향기가 나지 않았다고 해요. 그런데 정말 모란꽃에는 향기가 없을까요 기회가 된다면 직접 모란꽃 향기를 한번 맡아 보세요.그럼 지기삼사 중 세 번째 이야기를 들어 볼까요",97
171,능을 돌아보며,전쟁을 미리 알려준 개구리,"[해설] 선덕여왕이 왕위에 오른 지 5년이 되던 어느 겨울날, 영묘사 연못인 옥문지에서 개구리들이 몰려와 사흘 밤낮을 울었어요. 신하들은 이 괴상한 일을 여왕님께 아뢰었죠.[신하] 마마, 이 추운 겨울에 난데없는 개구리가 옥문지로 몰려와 밤낮으로 울고 있습니다. 무슨 연고인지 알 길이 없습니다. [선덕] 서둘러 서쪽 교외로 가 여근곡을 찾으십시오. [신하] 네 그게 무슨 [선덕] 그곳에 적군이 매복해 있을 것이오. 알천![알천] 네, 여왕님[선덕] 이천 명의 군사를 데리고 그곳을 수색하시오. [알천] 네, 알겠습니다![해설] 알천 장군이 군사를 이끌고 여근곡에 도착하니 그곳에 백제군이 숨어 신라를 칠 기회를 엿보고 있었죠.[알천] 쳐라! 단 한 놈도 남기지 마라~! [해설] 그렇게 신라군은 백제군을 모두 물리쳤고, 신하들은 여왕께 물었어요. [신하] 여왕님, 적군이 서쪽 여근곡에 침입한 것을 어떻게 아셨습니까[여왕] 개구리는 튀어나온 눈을 하고 있으니 이는 전쟁에 임하는 군사의 상입니다. 연못인 옥문지의 옥문은 여근이니, 여인은 음이고 그 빛이 흰색이죠. 흰 것은 서쪽의 빛이므로 적병이 서쪽에 여근곡에 있는 것을 알았습니다. 그리고 남근이 여근으로 들어가면 반드시 죽으니 그들을 쉽게 제압할 수 있었지요. [해설] 이렇게 선덕여왕의 선견지명에 신하들은 모두 감탄을 했다고 해요. ",113
170,능 앞,불교를 장려한 선덕여왕,"앞에 보이는 무덤이 신라 27대 왕인 선덕여왕릉이에요. 흙을 둥글게 쌓고 자연석을 이용해 밑 둘레를 장식했죠. 이곳에 묻힌 선덕여왕은 아들이 없는 진평왕의 뒤를 이어 왕위에 올라 첨성대, 분황사, 황룡사 9층 목탑을 세웠고 김유신과 김춘추와 더불어 삼국통일의 기초를 닦았어요. 당시, 여자의 몸으로 왕위에 오른 선덕여왕은 나라 안팎으로 많은 어려움을 겪고 있었어요. 백제와 고구려의 압박과 진골 귀족들의 반발로 왕권을 확고히 하기가 힘들었죠. 선덕여왕 말기에는 여왕이 나라를 잘 다스리지 못한다 하여, 비담이 난을 일으키기도 했어요. 이런 많은 어려움을 해결하고자 선덕여왕은 왕권강화를 위해 정치적 이념으로 불교를 장려하며 많은 절을 지었죠. 분황사와 황룡사도 이때 세워진 것이에요. 이처럼 불교는 종교적 역할 뿐 아니라 국가를 통치하는 이념으로 왕권강화 수단으로 사용되었어요. 특히, 23대 법흥왕부터 28대 진덕여왕까지는 왕명을 모두 불교식으로 지으면서 독특한 신라시대로 구분 짓고 있어요. 불법을 흥하게 한 법흥왕과 불법을 발전시킨 진흥왕 그리고 진평왕은 자신의 이름을 백정, 아내의 이름을 마야부인으로 석가모니 아버지와 어머니 이름을 그대로 사용했어요. 선덕여왕의 어린 시절 이름인 덕만은 수많은 중생을 구원하고자 여자의 몸으로 태어난 ‘덕만우바이’에서 따왔다고 해요. 이렇게 신라왕들은 부처와 자신을 동일시하며 불교를 통해 신라를 수호하려고 했어요. 불교는 종교이자, 국가를 통치하는 이념이었죠.그럼 이제, 능을 돌아보며 선덕여왕의 지혜로움을 알 수 있는 지기삼사 이야기를 들어 볼까요",127
169,선덕여왕릉으로 이동하며,천년 신라 최초의 여왕,"[선생님] 여기는 신라 최초의 여왕 선덕여왕릉이에요.선덕여왕이 묻혀 있는 이 산을 낭산이라고 하는데, 마치 이리가 엎드려 있는 모양이라고 해 붙여진 이름이죠. 신라 사람들은 예로부터 이 산을 매우 신성시 여겼답니다. 혹시, 여러분은 신라에 몇 명의 여왕이 있었는지 아세요[학생] 음. 선덕여왕하고 다음 왕위에 오른 진덕여왕이요.[선생님] 네, 잘 알고 있네요. 하지만 한 명이 더 있답니다. 선덕여왕과 진덕여왕 그리고 신라 말에 재위에 오른 진성여왕까지 모두 3명이에요.[학생] 백제나 고구려에는 여왕이 없는데, 신라에만 3명의 여왕이 있는 걸 보면 신라는 남녀가 평등한 사회였나 봐요.[선생님] 꼭 그렇지는 않아요. 신라도 다른 나라와 같이 여왕이 통치자로 살기에는 사회적으로 이겨내야 할 것들이 많았어요. 특히, 선덕여왕은 신라의 첫 여왕으로 오를 때 많은 어려움을 겪었죠.[학생] 그렇군요. 그런데 왜 선덕여왕은 다른 왕들과는 다르게 산에 묻혀 계세요 [선생님] 선덕여왕이 이곳에 묻힌 이유는 선덕여왕의 유언 때문이에요.어느 날, 선덕여왕은 신하들을 불러 모아 자신이 죽으면 도리천에 묻어 달라고 했어요. 그런데 도리천이 어딘지 알 수 없는 신하들이 여왕에게 물었더니, 선덕여왕은 낭산이라고 대답했죠. 여왕이 돌아가시고 신하들은 유언대로 장례를 지냈지만, 그때까지 왜 낭산이 도리천인지 알지 못했어요. 이후 30년이 흐른 뒤, 비로소 이곳이 왜 도리천이지 알게 되고 여왕의 선견지명에 감탄했다고 해요. [학생]그럼, 선덕여왕은 어떻게 이곳이 도리천인지 미리 안 거죠[선생님] 선덕여왕릉으로 오는 주차장 입구에 사천왕사지를 보셨죠 사천왕사지는 선덕여왕 이후 문무왕 시절 지어진 절이에요. 불경에서는 도리천이 사천왕천 위에 있다고 전해지는데, 선덕여왕릉이 바로 사천왕사의 위에 있어 이곳이 바로 도리천임을 알게 된 거예요. 도리천은 부처님이 계시는 세계를 말하죠. 이 이야기는 선덕여왕이 예견한 세 가지 일 중 하나인데, 나머지 이야기는 능 앞에서 들어보기로 해요.그럼, 능으로 올라가 볼까요",153
167,무열왕릉 앞에서,토끼와 거북이,"[해설]  왕위에 오르기 전, 김춘추가 고구려에 군사를 요청하러 간 적이 있었어요. 당시 신라는 백제로부터 위협을 받고 있는 위급한 상황이었죠. 하지만 고구려 역시 신라의 적국이었기 때문에 목숨을 걸고 향한 길이었답니다. 김춘추가 어떤 각오로 고구려로 갔는지 알아볼까요 선덕여왕 11년 642년 백제가 대야성을 함락했을 때, 춘추의 딸 고타소와 남편 품석이 죽었어요. 딸이 죽었다는 소식을 들은 김춘추는 슬픔에 젖어 하루 종일 기둥에 기대서서, 눈조차 깜박이지 않고 사람이나 물건이 그 앞을 지나쳐도 알아보지 못했죠. [하인] 나으리. 식사는 하셔야죠, 네 어제부터 아무것도 안 드시고 이렇게 기둥만 잡고 계시면 어쩌자는 겁니까 죽은 아기씨를 위해서라도 기운을 차리셔야죠, 나으리! [해설] 김춘추는 복수를 결심하고, 딸의 원수를 갚기 위해 고구려로 떠나요. 고구려에 도움을 청하러 간 거죠. 하지만 고구려의 왕은 그의 청을 거절하고 오히려 그를 위협했어요. [고구려왕] 마목현과 죽령은 본래 우리나라 땅이니 만약 우리에게 돌려주지 않으면, 넌 다시는 돌아가지 못 할 것이다. [춘추] 국가의 영토는 신하들이 마음대로 할 바가 아닙니다. 그런 명령은 받들 수 없습니다.[고구려왕] 뭐라 감히 내 말을 거역해 여봐라 저놈을 옥에 가두어라![해설] 그렇게 옥에 갇힌 춘추는 죽는 날만을 기다리고 있는 처지게 되고 말았는데. 어느 날, 고구려 왕의 총애를 받던 신하 선도해가 찾아와요.[선도해] 춘추 공은 토끼와 거북이 이야기를 아시오[춘 추] 토끼와 거북이라니, 그게 무슨 말입니까[선도해] 옛날 동해 용왕의 딸이 심장에 병이 들었습니다. 토끼의 간을 약으로 쓴다면 나을 수 있었지요. 육지를 오갈 수 있었던 거북이는 용왕을 위해 토끼를 찾으러 갔습죠. 거북이는 감언이설로 토끼를 꾀여 용궁으로 데려가는데, 그제 서야 토끼는 자신의 운명을 알아차렸던 겁니다. 간을 씻어 바위 아래 두었다며 토끼는 다시 육지로 올라갔고 그대로 숲 속 깊이 사라져 버렸지요.[해설] 춘추는 이야기를 듣고 선도해의 의중을 깨달아 고구려 왕을 뵙기를 청했습니다. [춘추] 두 땅은 본래 귀국의 지역이니, 제가 귀국하여 우리 왕에게 이를 돌려드리도록 말씀드리겠습니다. 나를 믿을 수 없다고 한다면 밝은 해를 두고 맹세합니다.[고구려왕] 하하하. 그래. 이제야 네가 내 뜻을 이해하는구나. 저자를 풀어 주거라. [해설] 그렇게 풀려난 춘추는 무사히 신라로 돌아올 수 있었답니다. ",191
167,무열왕릉 앞에서,김유신의 동생 문희와 연을 맺다,"[해설] 무열왕 김춘추와 김유신은 매우 각별한 사이였어요. 김유신의 여동생 문희와 김춘추가 혼인을 하면서 둘은 혈연으로까지 맺어지게 되었죠. 김춘추와 문희의 결혼에는 김유신의 역할이 컸는데, 그 이야기를 들어 볼까요 김유신에게는 보희와 문희라는 두 명의 동생이 있었어요. 어느 날, 언니 보희가 문희에게 간밤에 꾼 이상한 꿈 이야기를 들려줘요. 산에 올라가 오줌을 누었더니, 경주가 오줌으로 가득 차서 물바다가 되는 꿈을 꾸었다는 거예요. 꿈 이야기를 들은 문희는 대뜸 그 꿈을 자기에게 팔라고 했어요.[문희] 언니 그 꿈 나한테 팔아라. 내가 살게. [보희] 뭐 그런 기분 나쁜 꿈을 사서 뭐하게[문희] 언니가 요전에 탐내던 비단 치마 줄 테니까- 나한테 팔아라, 응[보희] 정말 너 나중에 두말하기 없기다~![해설] 열흘 후, 춘추와 공차기를 하고 있던 유신은, 일부러 춘추의 옷을 밟아 옷고름을 떨어뜨렸어요. 그리고 동생 보희에게 옷고름을 달아 달라고 했는데, 보희는 거절을 하고 대신 문희가 춘추의 옷고름을 달게 되었죠. [문희] 오라버니, 제가 꿰매드릴게요. 춘추공 옷. 이리 주셔요. [해설]  그 일로 문희와 춘추는 사랑에 빠지게 되었고, 유신은 문희가 임신한 사실을 알게 되었어요. [유신] 네가 어찌 감히! 부모님께 아뢰지도 않고 아기를 가졌느냐! [해설] 유신은 문희를 불태운다는 소문을 퍼뜨리고 선덕여왕이 행차할 때를 맞춰 뜰 안에 장작을 쌓고 불을 지폈어요. 선덕여왕은 유신의 집에서 연기가 오르는 것을 보고 놀라 물었어요. [선덕] 아니, 저곳은 김유신의 집이 아니더냐 불이라도 난 게냐 [신하] 장군께서 동생을 화형 시킨다고 합니다.[선덕] 동생을 화형 시키다니 도대체 무슨 이유로 친동생을![신하] 결혼도 안 한 여동생이 임신을 하였다고 합니다.[선덕] 뭐라 처녀가 임신을 하였다고 아이 아비는 누구라더냐[해설] 그때 함께 수행을 하던 춘추가 얼굴을 붉히며 고개를 떨구었어요. 선덕여왕은 상황을 알아차리고 춘추에게 말했죠. [선덕] 춘추, 너의 소행이로구나, 그런데 뭘 하고 있는 게야 빨리 가서 너의 정인을 구하지 않고! [춘추] 아, 네![해설] 그렇게 춘추와 문희는 결혼을 하게 되었고 유신과 춘추는 혈연으로 맺어지게 되었답니다. ",181
167,무열왕릉 앞에서,진골에서 왕위에 오른 무열왕,"무열왕릉은 통일신라시대의 무덤에 비해 다소 소박한 형태를 하고 있어요. 아직 발굴조사가 이뤄지지 않았지만, 굴식돌방무덤으로 추정한답니다. 무열왕릉 뒤편에는 4개의 무덤이 있는데, 이 무덤들(서악리 고분군)의 주인이 누구인지 밝혀지지 않았어요. 다만, 무열왕릉의 뒤편에 있는 것으로 보아 무열왕의 직계 조상들의 무덤으로 보고 있죠. 무열왕은 50세가 넘어서 왕위에 올랐는데, 그가 어떻게 왕위에 올랐는지 그 과정을 살펴볼까요 무열왕의 할아버지 진지왕은 왕위에 오른 지 3년 만에 왕위를 잃게 되었어요. 그 결과 그의 가족들은 왕이 될 수 있었던 성골의 지위를 상실하게 되었답니다. 이후, 무열왕의 아버지 용수는 선덕여왕에게 밀려 왕위에 오르지 못하고 무열왕은 점점 왕위에서 멀어지게 되었죠.하지만 그의 곁에는 신라의 장군 김유신이 있었어요. 가야계 귀족인 김유신은 무열왕처럼 신라의 권력 중심에서 배척되어 있었죠. 이렇게 같은 처지에 놓여 있던 두 사람은 의기투합해 선덕여왕 시절 일어난 비담의 난을 진압하면서 세력을 키워나갔어요. 이후, 무열왕은 목숨을 걸고 고구려와 당나라를 찾아가 외교를 펼쳤고 김유신은 전쟁의 최전선에 서서 신라군을 이끌었죠. 이렇게 두 사람의 노력으로 신라는 마침내 삼국통일의 기반을 마련하였고, 무열왕은 654년에 신라 제29대 왕으로 추대받았답니다. 하지만 안타깝게 무열왕은 삼국통일을 보지 못한 채 눈을 감았고, 삼국통일의 염원을 이루게 된 건, 그의 아들 문무왕 때였답니다. 그럼, 왕릉을 돌아보면서 무열왕에 대한 이야기를 들어 볼까요",118
